,post_code,x,y
103,LN4 3DZ,-0.40218256733871,53.139004729828
104,DN21 2UQ,-0.780580816221763,53.4117757828641
105,LN1 3LT,-0.546665728533304,53.2410457831008
106,LN2 5QY,-0.519635157901581,53.233575394698
107,DN21 2TJ,-0.784791392210841,53.411845664601
108,DN21 2UQ,-0.780580816221763,53.4117757828641
109,LN2 3JH,-0.484843037379254,53.306583634954
110,LN6 9AY,-0.596638716584081,53.1875181642958
111,LN4 3EZ,-0.399729562499236,53.1378300678024
112,PE11 1UN,-0.145011843186215,52.7872532107178
113,PE9 1YA,-0.46806024879634,52.6560902603236
114,PE9 2DH,-0.4773329,52.6509449
115,PE11 2BY,-0.147747714985492,52.7940659829727
116,PE6 8DD,-0.316193976417682,52.6837259641415
117,PE10 9XR,-0.380912893908995,52.7686262059066
