Postcode	Description	Grid Reference	X (easting)	Y (northing)	Latitude	Longitude
DL12 8HT	DL12 8HT	NZ 05522 16859	405522	516859	54.546957	-1.916151
DL3 0PD	DL3 0PD	NZ 29068 16054	429068	516054	54.538924	-1.5522508
DL2 2DS	DL2 2DS	NZ 29637 09891	429637	509891	54.483507	-1.5440737
DH8 0BW	DH8 0BW	NZ 10119 52446	410119	552446	54.866692	-1.8438668
DH2 3DJ	DH2 3DJ	NZ 25929 50843	425929	550843	54.851721	-1.5976853
SR7 7JE	SR7 7JE	NZ 42781 49200	442781	549200	54.835805	-1.3354757
DL16 6ED	DL16 6ED	NZ 25933 33939	425933	533939	54.699817	-1.5991267
TS21 3BN	TS21 3BN	NZ 35662 28910	435662	528910	54.654032	-1.4487843
DH1 2UW	DH1 2UW	NZ 30593 43514	430593	543514	54.7856	-1.5258183
TS28 5PZ	TS28 5PZ	NZ 40104 36904	440104	536904	54.725534	-1.3788453
DL13 5NX	DL13 5NX	NZ 10689 25724	410689	525724	54.626543	-1.8359577
DL2 3BE	DL2 3BE	NZ 17492 16810	417492	516810	54.546247	-1.7311167
DL5 4SE	DL5 4SE	NZ 27190 26147	427190	526147	54.629729	-1.5803449
SR8 4PF	SR8 4PF	NZ 43797 41516	443797	541516	54.76667	-1.3208173
DL2 1BY	DL2 1BY	postcode not found
SR7 7JE	SR7 7JE	NZ 42781 49200	442781	549200	54.835805	-1.3354757
DH7 0LP	DH7 0LP	NZ 16890 47249	416890	547249	54.819809	-1.7386731
DH9 7XT	DH9 7XT	NZ 16944 51460	416944	551460	54.857648	-1.7375876
DL5 5NH	DL5 5NH	NZ 27447 24908	427447	524908	54.618581	-1.5764797
SR7 8LF	SR7 8LF	NZ 41918 49308	441918	549308	54.836848	-1.348895
DH9 9DA	DH9 9DA	NZ 15395 53683	415395	553683	54.877674	-1.7615986
DL16 6BQ	DL16 6BQ	NZ 25661 33912	425661	533912	54.699588	-1.6033495
TS28 5PZ	TS28 5PZ	NZ 40104 36904	440104	536904	54.725534	-1.3788453
DH6 2LQ	DH6 2LQ	NZ 39471 40815	439471	540815	54.760729	-1.3881437
DH7 9YT	DH7 9YT	NZ 21270 45097	421270	545097	54.800304	-1.6706673
NE17 7SB	NE17 7SB	NZ 11869 56558	411869	556558	54.903605	-1.8164332
DH6 2LT	DH6 2LT	NZ 39591 41094	439591	541094	54.763226	-1.3862411
DH7 0BD	DH7 0BD	NZ 18584 47845	418584	547845	54.825105	-1.7122724
DL14 9SU	DL14 9SU	NZ 15685 25024	415685	525024	54.620123	-1.758614
DH6 2TH	DH6 2TH	NZ 37988 45205	437988	545205	54.800291	-1.4106151
DH7 8SJ	DH7 8SJ	NZ 23324 39960	423324	539960	54.754051	-1.6391287
DH9 6AN	DH9 6AN	NZ 20683 51420	420683	551420	54.857149	-1.6793484
DL17 9LH	DL17 9LH	NZ 30851 34352	430851	534352	54.703252	-1.5227751
DH6 5AL	DH6 5AL	NZ 30534 38022	430534	538022	54.736251	-1.5273108
DH8 6DP	DH8 6DP	NZ 12552 51770	412552	551770	54.860562	-1.8059885
DH2 2NJ	DH2 2NJ	NZ 25148 51522	425148	551522	54.857862	-1.6097901
DL4 1DU	DL4 1DU	NZ 22834 26554	422834	526554	54.633601	-1.6477859
DL1 5LW	DL1 5LW	NZ 29315 14320	429315	514320	54.523327	-1.5486052
DH1 3BQ	DH1 3BQ	NZ 27983 42026	427983	542026	54.77238	-1.566544
DL15 4SB	DL15 4SB	postcode not found
DH9 7TD	DH9 7TD	NZ 17079 51362	417079	551362	54.856763	-1.7354904
DH8 5RL	DH8 5RL	NZ 11014 50769	411014	550769	54.851603	-1.8299855
NE65 7UW	NE65 7UW	NU 05706 01671	405706	601671	55.309097	-1.911657
NE63 9UT	NE63 9UT	NZ 27469 87812	427469	587812	55.183838	-1.5701637
NE22 6JX	NE22 6JX	NZ 25691 82068	425691	582068	55.132319	-1.5986032
NE66 2NL	NE66 2NL	NU 19304 12947	419304	612947	55.410075	-1.6966692
NE20 9SD	NE20 9SD	NZ 16090 73063	416090	573063	55.051804	-1.7496879
NE70 7ER	NE70 7ER	NU 11067 33606	411067	633606	55.595957	-1.8259456
NE24 1HD	NE24 1HD	NZ 31077 81705	431077	581705	55.12875	-1.5141723
NE20 9SD	NE20 9SD	NZ 16090 73063	416090	573063	55.051804	-1.7496879
NE22 7DU	NE22 7DU	NZ 27864 83027	427864	583027	55.14082	-1.5644294
NE24 1DX	NE24 1DX	NZ 31029 81607	431029	581607	55.127873	-1.5149357
NE63 0XX	NE63 0XX	NZ 27597 87607	427597	587607	55.181989	-1.5681736
NE42 5PW	NE42 5PW	NZ 09489 63045	409489	563045	54.961949	-1.8533372
NE45 5LG	NE45 5LG	NY 99287 64367	399287	564367	54.973916	-2.0126703
NE62 5RA	NE62 5RA	NZ 25325 84878	425325	584878	55.157588	-1.6040937
NE66 2NR	NE66 2NR	NU 19236 12990	419236	612990	55.410464	-1.6977403
NE65 0HD	NE65 0HD	NU 26711 04364	426711	604364	55.332608	-1.5805042
NE46 1QJ	NE46 1QJ	NY 93985 63885	393985	563885	54.969548	-2.0954883
NE23 6QN	NE23 6QN	NZ 26174 76747	426174	576747	55.084481	-1.5915158
TD15 1LL	TD15 1LL	NT 99709 53229	399709	653229	55.772395	-2.0062068
NE48 2HE	NE48 2HE	NY 83654 83306	383654	583306	55.143831	-2.2579821
NE63 0NG	NE63 0NG	NZ 28061 86376	428061	586376	55.170902	-1.5610089
NE61 5LX	NE61 5LX	NZ 24225 94068	424225	594068	55.240221	-1.6205727
NE23 6US	NE23 6US	NZ 26457 76770	426457	576770	55.084673	-1.5870806
NE61 1JX	NE61 1JX	NZ 20230 86402	420230	586402	55.171516	-1.683944
NE71 6BL	NE71 6BL	NT 98936 28091	398936	628091	55.546525	-2.0184204
NE46 1QJ	NE46 1QJ	NY 93985 63885	393985	563885	54.969548	-2.0954883
NE49 9AP	NE49 9AP	NY 70341 64039	370341	564039	54.97008	-2.4648247
NE41 8DH	NE41 8DH	NZ 11403 64551	411403	564551	54.975443	-1.8233863
NE61 1BJ	NE61 1BJ	NZ 19865 86162	419865	586162	55.169374	-1.6896909
NE23 7EF	NE23 7EF	NZ 28940 74443	428940	574443	55.063625	-1.5484204
NE23 6QN	NE23 6QN	NZ 26174 76747	426174	576747	55.084481	-1.5915158
NE61 1JX	NE61 1JX	NZ 20230 86402	420230	586402	55.171516	-1.683944
NE46 4BU	NE46 4BU	NY 92087 71288	392087	571288	55.036045	-2.1253434
NE61 4EG	NE61 4EG	NZ 03884 86496	403884	586496	55.172755	-1.9405629
NE23 1XZ	NE23 1XZ	NZ 26631 77987	426631	577987	55.095599	-1.5842415
TD15 2HB	TD15 2HB	NT 99358 52597	399358	652597	55.766716	-2.0117999
NE47 6LA	NE47 6LA	NY 84094 64592	384094	564592	54.975681	-2.250028
NE43 7LL	NE43 7LL	NZ 06640 61392	406640	561392	54.94714	-1.8978688
NE24 1HD	NE24 1HD	NZ 31077 81705	431077	581705	55.12875	-1.5141723
NE71 6BL	NE71 6BL	NT 98936 28091	398936	628091	55.546525	-2.0184204
NE65 9PR	NE65 9PR	NU 18431 00529	418431	600529	55.298526	-1.7112693
NE65 7DG	NE65 7DG	NT 93385 04708	393385	604708	55.336372	-2.1058295
NE42 5HR	NE42 5HR	NZ 09976 63119	409976	563119	54.962605	-1.845729
NE47 9LG	NE47 9LG	NY 84128 55898	384128	555898	54.897557	-2.2490131
